1,Alejandro,
2,Marc,
3,Jorge,
4,Álvaro,
5,Oriol,
6,Nuria,
7,Nerea,
8,Marco,
9,Rut,
10,Violeta,
11,Albert,
12,Nicolas,
13,Vero,
14,Ivan,
15,Sato,
16,Recio,
17,Pablo Tarrasa,
18,Pablo,
19,Izarbe,
20,Martin,
21,Aleix,
22,Julia,
23,Claudia,
24,Pau,
25,Celia,
